node,degree
0,3
1680,8
6918,5
19642,5
1,8
4131,17
5645,43
6356,103
7283,44
7716,16
11389,75
19612,76
21928,31
2,2
3335,57
4598,8
3,4
8041,19
10350,4
12415,8
20592,21
4,5
1694,6
5811,13
12408,8
13191,6
17576,34
5,2
2372,4
8339,8
6,3
2095,2
19215,1
22028,20
7,20
915,4
1566,19
2110,4
6348,3
6762,49
7145,4
7883,5
7981,6
9735,29
10238,2
14002,40
14424,46
14640,9
16402,4
17482,8
17514,13
18525,4
21417,14
22498,12
22792,20
8,6
251,43
268,32
7386,12
12229,11
16296,24
18573,9
9,6
1506,16
5955,13
7123,5
12677,3
13233,4
14387,3
10,1
17023,1
11,4
2214,8
18465,3
18944,3
21316,5
12,7
3320,86
4932,7
8272,7
14324,13
18080,98
18379,8
21146,12
13,9
14,7
1162,19
1422,26
4888,3
6525,15
8650,13
10291,51
11510,17
20306,3
15,12
3519,42
5230,18
5619,7
6374,2
7674,4
9526,4
14559,56
15677,17
16023,12
18167,32
20210,5
22080,8
16,9
1946,37
2669,6
3351,148
6558,18
8718,21
10023,45
11303,12
13299,58
15937,19
17,3
7451,9
7838,3
11080,9
18,2
7608,2
15312,7
19,4
20,1
5500,21
20085,7
21814,29
21,2
12170,8
17055,7
22,3
9836,2
13971,3
14097,11
23,9
1023,4
4129,4
5595,3
5884,5
6175,10
10320,13
10525,1
17700,8
20696,5
24,4
5271,4
6099,4
17746,4
17881,4
25,9
2588,9
10074,14
10357,9
14128,18
14617,9
20110,14
20358,14
22938,9
22939,9
26,2
4612,8
18921,43
27,3
1161,6
6155,9
13176,6
28,10
6721,5
8794,10
9020,35
10984,5
17647,5
19625,8
20151,5
20904,5
22424,6
22440,33
29,7
9837,12
9975,7
12756,14
14467,7
20160,28
22370,16
22544,16
30,11
33,17
604,16
8636,19
12730,21
14136,5
14534,8
14757,10
14895,55
17936,38
18614,38
19861,17
31,2
7435,5
20194,7
32,14
758,3
4542,9
7597,17
8590,3
9615,7
10877,5
10949,9
12613,6
14884,18
15534,6
15755,279
15931,15
16529,11
18834,9
504,76
9432,48
10226,13
11218,14
14102,40
18490,12
19903,13
20190,30
20233,6
20239,20
21874,6
34,12
482,23
1787,13
3115,6
3123,10
5077,13
5344,21
10661,28
10977,6
19280,5
21059,5
21423,15
21700,32
35,6
3709,6
5134,15
17095,8
19222,14
20871,18
22841,11
36,10
931,19
2949,19
8175,3
8342,4
9353,24
9623,7
18213,4
18797,3
21622,14
22485,44
37,20
1598,90
2141,38
4805,31
4947,32
5616,99
5782,104
6706,97
8940,53
9666,76
10116,72
10360,33
11327,32
11546,24
11619,60
12302,16
13840,41
14292,50
15791,16
16783,32
38,4
420,49
4963,4
11591,4
19556,124
39,6
3514,6
7766,22
15053,6
15445,6
20485,6
22151,6
40,1
21442,4
41,9
440,9
2697,11
4078,6
5435,46
5814,12
15216,37
18600,5
20377,6
21481,22
42,6
7529,21
8836,14
9969,25
12141,26
20653,10
20940,8
43,5
3315,16
4520,3
7336,5
9506,3
18655,26
44,8
7533,28
7781,20
8092,41
14723,18
18836,18
21176,12
22418,8
22455,17
45,13
3399,19
6862,18
7304,22
7329,15
8678,18
9743,29
11253,13
14888,17
16260,20
16574,17
17271,11
21619,13
22369,4
46,17
1473,12
2491,6
5022,11
5556,25
6590,74
6738,14
7499,2
9232,40
9805,5
